Time   [HA]   [A-][H+] 
68.1 0.51 0.69 0.49
68.2 0.51 0.69 0.49
68.3 0.51 0.69 0.5
68.4 0.5 0.7 0.5
68.5 0.5 0.7 0.5
68.6 0.5 0.7 0.5
68.7 0.5 0.7 0.5
68.8 0.5 0.7 0.5
68.9 0.5 0.7 0.5
69.0 0.5 0.7 0.5
69.1 0.5 0.7 0.5
69.2 0.5 0.7 0.5
69.3 0.5 0.7 0.5
69.4 0.5 0.7 0.5
69.5 0.5 0.7 0.5
69.6 0.5 0.7 0.5
69.7 0.5 0.7 0.5
69.8 0.5 0.7 0.5
69.9 0.5 0.7 0.5
70.0 0.5 0.7 0.5
70.1 0.5 0.7 0.5
70.2 0.5 0.7 0.5
70.3 0.5 0.7 0.51
70.4 0.49 0.71 0.51
70.5 0.49 0.71 0.51
70.6 0.49 0.71 0.51
70.7 0.49 0.71 0.51
70.8 0.49 0.71 0.51
70.9 0.49 0.71 0.51
71.0 0.49 0.71 0.51
71.1 0.49 0.71 0.51
71.2 0.49 0.71 0.51
71.3 0.49 0.71 0.51
71.4 0.49 0.71 0.51
71.5 0.49 0.71 0.51
71.6 0.49 0.71 0.51
71.7 0.49 0.71 0.51
71.8 0.49 0.71 0.51
71.9 0.49 0.71 0.51
72.0 0.49 0.71 0.51
72.1 0.49 0.71 0.51
72.2 0.49 0.71 0.51
72.3 0.49 0.71 0.51
72.4 0.48 0.72 0.52
72.5 0.48 0.72 0.52
72.6 0.48 0.72 0.52
72.7 0.48 0.72 0.52
72.8 0.48 0.72 0.52
72.9 0.48 0.72 0.52
73.0 0.48 0.72 0.52
73.1 0.48 0.72 0.52
73.2 0.48 0.72 0.52
73.3 0.48 0.72 0.52
73.4 0.48 0.72 0.52
73.5 0.48 0.72 0.52
73.6 0.48 0.72 0.52
73.7 0.48 0.72 0.52
73.8 0.48 0.72 0.52
73.9 0.48 0.72 0.52
74.0 0.48 0.72 0.52
74.1 0.48 0.72 0.52
74.2 0.48 0.72 0.52
74.3 0.48 0.72 0.52
74.4 0.48 0.72 0.52
74.5 0.47 0.73 0.53
74.6 0.47 0.73 0.53
74.7 0.47 0.73 0.53
74.8 0.47 0.73 0.53
74.9 0.47 0.73 0.53
75.0 0.47 0.73 0.53
75.1 0.47 0.73 0.53
75.2 0.47 0.73 0.53
75.3 0.47 0.73 0.53
75.4 0.47 0.73 0.53
75.5 0.47 0.73 0.53
75.6 0.47 0.73 0.53
75.7 0.47 0.73 0.53
75.8 0.47 0.73 0.53
75.9 0.47 0.73 0.53
76.0 0.47 0.73 0.53
76.1 0.47 0.73 0.53
76.2 0.47 0.73 0.53
76.3 0.47 0.73 0.53
76.4 0.47 0.73 0.53
76.5 0.47 0.73 0.53
76.6 0.46 0.74 0.54
76.7 0.46 0.74 0.54
76.8 0.46 0.74 0.54
76.9 0.46 0.74 0.54
77.0 0.46 0.74 0.54
77.1 0.46 0.74 0.54
77.2 0.46 0.74 0.54
77.3 0.46 0.74 0.54
77.4 0.46 0.74 0.54
77.5 0.46 0.74 0.54
77.6 0.46 0.74 0.54
77.7 0.46 0.74 0.54
77.8 0.46 0.74 0.54
77.9 0.46 0.74 0.54
78.0 0.46 0.74 0.54
78.1 0.46 0.74 0.54
78.2 0.46 0.74 0.54
78.3 0.46 0.74 0.54
78.4 0.46 0.74 0.54
78.5 0.46 0.74 0.54
78.6 0.46 0.74 0.54
78.7 0.46 0.74 0.54
78.8 0.45 0.75 0.55
78.9 0.45 0.75 0.55
79.0 0.45 0.75 0.55
79.1 0.45 0.75 0.55
79.2 0.45 0.75 0.55
79.3 0.45 0.75 0.55
79.4 0.45 0.75 0.55
79.5 0.45 0.75 0.55
79.6 0.45 0.75 0.55
79.7 0.45 0.75 0.55
79.8 0.45 0.75 0.55
79.9 0.45 0.75 0.55
80.0 0.45 0.75 0.55
80.1 0.45 0.75 0.55
80.2 0.45 0.75 0.55
80.3 0.45 0.75 0.55
80.4 0.45 0.75 0.55
80.5 0.45 0.75 0.55
80.6 0.45 0.75 0.55
80.7 0.45 0.75 0.55
80.8 0.45 0.75 0.55
80.9 0.45 0.75 0.55
81.0 0.44 0.76 0.56
81.1 0.44 0.76 0.56
81.2 0.44 0.76 0.56
81.3 0.44 0.76 0.56
81.4 0.44 0.76 0.56
81.5 0.44 0.76 0.56
81.6 0.44 0.76 0.56
81.7 0.44 0.76 0.56
81.8 0.44 0.76 0.56
81.9 0.44 0.76 0.56
82.0 0.44 0.76 0.56
82.1 0.44 0.76 0.56
82.2 0.44 0.76 0.56
82.3 0.44 0.76 0.56
82.4 0.44 0.76 0.56
82.5 0.44 0.76 0.56
82.6 0.44 0.76 0.56
82.7 0.44 0.76 0.56
82.8 0.44 0.76 0.56
82.9 0.44 0.76 0.56
83.0 0.44 0.76 0.56
83.1 0.44 0.76 0.56
83.2 0.44 0.76 0.56
83.3 0.43 0.77 0.57
83.4 0.43 0.77 0.57
83.5 0.43 0.77 0.57
83.6 0.43 0.77 0.57
83.7 0.43 0.77 0.57
83.8 0.43 0.77 0.57
83.9 0.43 0.77 0.57
84.0 0.43 0.77 0.57
84.1 0.43 0.77 0.57
84.2 0.43 0.77 0.57
84.3 0.43 0.77 0.57
84.4 0.43 0.77 0.57
84.5 0.43 0.77 0.57
84.6 0.43 0.77 0.57
84.7 0.43 0.77 0.57
84.8 0.43 0.77 0.57
84.9 0.43 0.77 0.57
85.0 0.43 0.77 0.57
85.1 0.43 0.77 0.57
85.2 0.43 0.77 0.57
85.3 0.43 0.77 0.57
85.4 0.43 0.77 0.57
85.5 0.43 0.77 0.57
85.6 0.42 0.78 0.58
85.7 0.42 0.78 0.58
85.8 0.42 0.78 0.58
85.9 0.42 0.78 0.58
86.0 0.42 0.78 0.58
86.1 0.42 0.78 0.58
86.2 0.42 0.78 0.58
86.3 0.42 0.78 0.58
86.4 0.42 0.78 0.58
86.5 0.42 0.78 0.58
86.6 0.42 0.78 0.58
86.7 0.42 0.78 0.58
86.8 0.42 0.78 0.58
86.9 0.42 0.78 0.58
